participant_id,day_index,ts,lat,lon,speed_mps
p_001,0,2026-09-14T00:00:00-05:00,30.273405,-97.751122,0.0
p_001,0,2026-09-14T00:10:00-05:00,30.273399,-97.751106,0.0
p_001,0,2026-09-14T00:20:00-05:00,30.2734,-97.751117,0.0
p_001,0,2026-09-14T00:30:00-05:00,30.273434,-97.751106,0.0
p_001,0,2026-09-14T00:40:00-05:00,30.273397,-97.75112,0.0
p_001,0,2026-09-14T00:50:00-05:00,30.273333,-97.751106,0.0
p_001,0,2026-09-14T01:00:00-05:00,30.273389,-97.751156,0.0
p_001,0,2026-09-14T01:10:00-05:00,30.273439,-97.75114,0.0
p_001,0,2026-09-14T01:20:00-05:00,30.273413,-97.751153,0.0
p_001,0,2026-09-14T01:30:00-05:00,30.273386,-97.751181,0.0
p_001,0,2026-09-14T01:40:00-05:00,30.273364,-97.751126,0.0
p_001,0,2026-09-14T01:50:00-05:00,30.273391,-97.75117,0.0
p_001,0,2026-09-14T02:00:00-05:00,30.273368,-97.751157,0.0
p_001,0,2026-09-14T02:10:00-05:00,30.273341,-97.751205,0.0
p_001,0,2026-09-14T02:20:00-05:00,30.273371,-97.751115,0.0
p_001,0,2026-09-14T02:30:00-05:00,30.273426,-97.751139,0.0
p_001,0,2026-09-14T02:40:00-05:00,30.273419,-97.751104,0.0
p_001,0,2026-09-14T02:50:00-05:00,30.273453,-97.751089,0.0
p_001,0,2026-09-14T03:00:00-05:00,30.273428,-97.751133,0.0
p_001,0,2026-09-14T03:10:00-05:00,30.273413,-97.751163,0.0
p_001,0,2026-09-14T03:20:00-05:00,30.273349,-97.751098,0.0
p_001,0,2026-09-14T03:30:00-05:00,30.2734,-97.751096,0.0
p_001,0,2026-09-14T03:40:00-05:00,30.273402,-97.75116,0.0
p_001,0,2026-09-14T03:50:00-05:00,30.27341,-97.75113,0.0
p_001,0,2026-09-14T04:00:00-05:00,30.2734,-97.751161,0.0
p_001,0,2026-09-14T04:10:00-05:00,30.273371,-97.751186,0.0
p_001,0,2026-09-14T04:20:00-05:00,30.273386,-97.751127,0.0
p_001,0,2026-09-14T04:30:00-05:00,30.273402,-97.751113,0.0
p_001,0,2026-09-14T04:40:00-05:00,30.273407,-97.751134,0.0
p_001,0,2026-09-14T04:50:00-05:00,30.27342,-97.751156,0.0
p_001,0,2026-09-14T05:00:00-05:00,30.273388,-97.751094,0.0
p_001,0,2026-09-14T05:10:00-05:00,30.273359,-97.751055,0.0
p_001,0,2026-09-14T05:20:00-05:00,30.273345,-97.751173,0.0
p_001,0,2026-09-14T05:30:00-05:00,30.273367,-97.751109,0.0
p_001,0,2026-09-14T05:40:00-05:00,30.273403,-97.751073,0.0
p_001,0,2026-09-14T05:50:00-05:00,30.273422,-97.75109,0.0
p_001,0,2026-09-14T06:00:00-05:00,30.273394,-97.751127,0.0
p_001,0,2026-09-14T06:10:00-05:00,30.273302,-97.75107,0.0
